"Id","Method","Path","Expected","Status","Location","Result"
"P01","GET","/","200","200",,"PASS"
"P02","GET","/komunitas","200","200",,"PASS"
"P03","GET","/events","200","200",,"PASS"
"P04","GET","/blog","200","200",,"PASS"
"P05","GET","/about","200","200",,"PASS"
"P06","GET","/contact","200","200",,"PASS"
"P07","GET","/login","200","200",,"PASS"
"P08","GET","/register","200","200",,"PASS"
"P09","GET","/up","200","200",,"PASS"
"P10","GET","/account-restricted","200","200",,"PASS"
"P11","GET","/admin/login","200","200",,"PASS"
"P12","GET","/tentang-kami","200","200",,"PASS"
"P13","GET","/hubungi-kami","200","200",,"PASS"
"P14","GET","/event","200","200",,"PASS"
"P15","GET","/member","404","404",,"PASS"
"P16","GET","/superadmin","404","404",,"PASS"
"P17","GET","/community-own","404","404",,"PASS"
"P18","GET","/brand","404","404",,"PASS"
"P19","GET","/company-owner","404","404",,"PASS"
"P20","GET","/nonexistent","404","404",,"PASS"
"N01","GET","/superadmin","404","404",,"PASS"
"N02","GET","/admin","404","404",,"PASS"
